weight,mpg,car_name,origin
3504.0,18.0,chevrolet chevelle malibu,1
3693.0,15.0,buick skylark 320,1
3436.0,18.0,plymouth satellite,1
3433.0,16.0,amc rebel sst,1
3449.0,17.0,ford torino,1
4341.0,15.0,ford galaxie 500,1
4354.0,14.0,chevrolet impala,1
4312.0,14.0,plymouth fury iii,1
4425.0,14.0,pontiac catalina,1
3850.0,15.0,amc ambassador dpl,1
3563.0,15.0,dodge challenger se,1
3609.0,14.0,plymouth 'cuda 340,1
3761.0,15.0,chevrolet monte carlo,1
3086.0,14.0,buick estate wagon (sw),1
2372.0,24.0,toyota corona mark ii,3
2833.0,22.0,plymouth duster,1
2774.0,18.0,amc hornet,1
2587.0,21.0,ford maverick,1
2130.0,27.0,datsun pl510,3
1835.0,26.0,volkswagen 1131 deluxe sedan,2
2672.0,25.0,peugeot 504,2
2430.0,24.0,audi 100 ls,2
2375.0,25.0,saab 99e,2
2234.0,26.0,bmw 2002,2
2648.0,21.0,amc gremlin,1
4615.0,10.0,ford f250,1
4376.0,10.0,chevy c20,1
4382.0,11.0,dodge d200,1
4732.0,9.0,hi 1200d,1
2130.0,27.0,datsun pl510,3
2264.0,28.0,chevrolet vega 2300,1
2228.0,25.0,toyota corona,3
2046.0,25.0,ford pinto,1
2634.0,19.0,amc gremlin,1
3439.0,16.0,plymouth satellite custom,1
3329.0,17.0,chevrolet chevelle malibu,1
3302.0,19.0,ford torino 500,1
3288.0,18.0,amc matador,1
4209.0,14.0,chevrolet impala,1
4464.0,14.0,pontiac catalina brougham,1
4154.0,14.0,ford galaxie 500,1
4096.0,14.0,plymouth fury iii,1
4955.0,12.0,dodge monaco (sw),1
4746.0,13.0,ford country squire (sw),1
5140.0,13.0,pontiac safari (sw),1
2962.0,18.0,amc hornet sportabout (sw),1
2408.0,22.0,chevrolet vega (sw),1
3282.0,19.0,pontiac firebird,1
3139.0,18.0,ford mustang,1
2220.0,23.0,mercury capri 2000,1
2123.0,28.0,opel 1900,2
2074.0,30.0,peugeot 304,2
2065.0,30.0,fiat 124b,2
1773.0,31.0,toyota corolla 1200,3
1613.0,35.0,datsun 1200,3
1834.0,27.0,volkswagen model 111,2
1955.0,26.0,plymouth cricket,1
2278.0,24.0,toyota corona hardtop,3
2126.0,25.0,dodge colt hardtop,1
2254.0,23.0,volkswagen type 3,2
2408.0,20.0,chevrolet vega,1
2226.0,21.0,ford pinto runabout,1
4274.0,13.0,chevrolet impala,1
4385.0,14.0,pontiac catalina,1
4135.0,15.0,plymouth fury iii,1
4129.0,14.0,ford galaxie 500,1
3672.0,17.0,amc ambassador sst,1
4633.0,11.0,mercury marquis,1
4502.0,13.0,buick lesabre custom,1
4456.0,12.0,oldsmobile delta 88 royale,1
4422.0,13.0,chrysler newport royal,1
2330.0,19.0,mazda rx2 coupe,3
3892.0,15.0,amc matador (sw),1
4098.0,13.0,chevrolet chevelle concours (sw),1
4294.0,13.0,ford gran torino (sw),1
4077.0,14.0,plymouth satellite custom (sw),1
2933.0,18.0,volvo 145e (sw),2
2511.0,22.0,volkswagen 411 (sw),2
2979.0,21.0,peugeot 504 (sw),2
2189.0,26.0,renault 12 (sw),2
2395.0,22.0,ford pinto (sw),1
2288.0,28.0,datsun 510 (sw),3
2506.0,23.0,toyouta corona mark ii (sw),3
2164.0,28.0,dodge colt (sw),1
2100.0,27.0,toyota corolla 1600 (sw),3
4100.0,13.0,buick century 350,1
3672.0,14.0,amc matador,1
3988.0,13.0,chevrolet malibu,1
4042.0,14.0,ford gran torino,1
3777.0,15.0,dodge coronet custom,1
4952.0,12.0,mercury marquis brougham,1
4464.0,13.0,chevrolet caprice classic,1
4363.0,13.0,ford ltd,1
4237.0,14.0,plymouth fury gran sedan,1
4735.0,13.0,chrysler new yorker brougham,1
4951.0,12.0,buick electra 225 custom,1
3821.0,13.0,amc ambassador brougham,1
3121.0,18.0,plymouth valiant,1
3278.0,16.0,chevrolet nova custom,1
2945.0,18.0,amc hornet,1
3021.0,18.0,ford maverick,1
2904.0,23.0,plymouth duster,1
1950.0,26.0,volkswagen super beetle,2
4997.0,11.0,chevrolet impala,1
4906.0,12.0,ford country,1
4654.0,13.0,plymouth custom suburb,1
4499.0,12.0,oldsmobile vista cruiser,1
2789.0,18.0,amc gremlin,1
2279.0,20.0,toyota carina,3
2401.0,21.0,chevrolet vega,1
2379.0,22.0,datsun 610,3
2124.0,18.0,maxda rx3,3
2310.0,19.0,ford pinto,1
2472.0,21.0,mercury capri v6,1
2265.0,26.0,fiat 124 sport coupe,2
4082.0,15.0,chevrolet monte carlo s,1
4278.0,16.0,pontiac grand prix,1
1867.0,29.0,fiat 128,2
2158.0,24.0,opel manta,2
2582.0,20.0,audi 100ls,2
2868.0,19.0,volvo 144ea,2
3399.0,15.0,dodge dart custom,1
2660.0,24.0,saab 99le,2
2807.0,20.0,toyota mark ii,3
3664.0,11.0,oldsmobile omega,1
3102.0,20.0,plymouth duster,1
2875.0,21.0,ford maverick,1
2901.0,19.0,amc hornet,1
3336.0,15.0,chevrolet nova,1
1950.0,31.0,datsun b210,3
2451.0,26.0,ford pinto,1
1836.0,32.0,toyota corolla 1200,3
2542.0,25.0,chevrolet vega,1
3781.0,16.0,chevrolet chevelle malibu classic,1
3632.0,16.0,amc matador,1
3613.0,18.0,plymouth satellite sebring,1
4141.0,16.0,ford gran torino,1
