MONTH,YEAR,NUMBER OF SESSIONS,CUMULATIVE NUMBER OF SESSIONS
January,2011,22263,22263
February,2011,19657,41920
March,2011,24506,66426
April,2011,23998,90424
May,2011,23242,113666
June,2011,26044,139710
July,2011,27735,167445
August,2011,33934,201379
September,2011,32714,234093
October,2011,34760,268853
November,2011,33535,302388
December,2011,31842,334230
January,2012,33089,367319
February,2012,34428,401747
March,2012,38230,439977
April,2012,39164,479141
May,2012,39272,518413
June,2012,40431,558844
July,2012,46069,604913
August,2012,50608,655521
September,2012,49951,705472
October,2012,53894,759366
November,2012,55583,814949
December,2012,53593,868542
January,2013,50927,919469
February,2013,48984,968453
March,2013,69759,1038212
April,2013,114109,1152321
May,2013,113753,1266074
June,2013,135646,1401720
July,2013,146590,1548310
